Seite,Englisches Wort,Deutsche Übersetzung,Kontext,Status,Priorität,Datei,Zeile
Speisekarten-Designer,Card,Karte,Label,REPARIERT,Hoch,speisekarten-designer/page.tsx,265
Speisekarten-Designer,Menu,Menü,Preview Text,REPARIERT,Hoch,speisekarten-designer/page.tsx,408
Speisekarten-Designer,Preview,Vorschau,Preview Text,REPARIERT,Hoch,speisekarten-designer/page.tsx,408
Admin,Loading,Laden,Status Text,REPARIERT,Hoch,admin/page.tsx,101
Admin,admin,Admin,Loading Text,REPARIERT,Hoch,admin/page.tsx,101
Admin,dashboard,Dashboard,Loading Text,REPARIERT,Hoch,admin/page.tsx,101
Admin,Total,Gesamt,Statistik Label,REPARIERT,Hoch,admin/page.tsx,130
Admin,Users,Benutzer,Statistik Label,REPARIERT,Hoch,admin/page.tsx,130
Admin,Leads,Leads,Statistik Label,OK - Fachbegriff,Niedrig,admin/page.tsx,142
Admin,Monthly,Monatliche,Statistik Label,REPARIERT,Hoch,admin/page.tsx,154
Admin,Signups,Anmeldungen,Statistik Label,REPARIERT,Hoch,admin/page.tsx,154
Admin,Active,Aktive,Statistik Label,REPARIERT,Hoch,admin/page.tsx,166
Admin,Lead,Lead,Modal Titel,OK - Fachbegriff,Niedrig,admin/page.tsx,236
Admin,Details,Details,Modal Titel,OK - Universal,Niedrig,admin/page.tsx,236
Admin,Interest,Interesse,Label,REPARIERT,Hoch,admin/page.tsx,262
